Name,Arp,RA,Dec,Diam
,0028-370,7.6929,-36.8488,5.4
,0028-424,7.7243,-42.4839,0.3
,0028-443,7.7429,-44.2755,0.1
,0028-333,7.7627,-33.2689,1.0
,0028-371,7.7593,-36.8906,5.4
,0028-225,7.7797,-22.6222,5.6
,0028-225,7.8171,-22.5639,5.6
,0028-564,7.7774,-56.4506,4.0
,0028-370,7.8133,-36.8523,5.4
,0028-225,7.8379,-22.6489,5.6
,0028-230,7.8461,-22.764,1.1
,0029-333,7.9787,-33.2657,0.4
,0029-442,7.9794,-44.1607,0.3
,0029-280,8.0292,-27.7274,1.1
,0029-403,8.0421,-40.2641,1.3
,0029-643,7.9999,-64.3157,10.3
,0029-664,7.9921,-66.404,2.9
,0029-643,8.0043,-64.254,9.0
,0030-453,8.1563,-45.2325,0.6
,0030-394,8.1882,-39.4808,1.2
,0030-681,8.1705,-67.9708,0.7
,0030-323,8.287,-32.2642,1.1
,0030-565,8.2567,-56.6875,0.4
,0030-260,8.3135,-25.8326,0.2
,0030-223,8.3288,-22.3609,1.3
,0030-565,8.3022,-56.6842,0.6
,0030-570,8.3018,-56.8542,0.6
,0030-782,8.1911,-78.2142,0.9
,0031-420,8.3805,-41.8293,0.6
,0031-280,8.4074,-27.7977,1.9
,0031-570,8.3723,-56.7443,0.6
,0031-530,8.4012,-52.7993,1.3
,0031-343,8.501,-34.276,0.2
,0031-381,8.5303,-37.8994,3.3
,0031-310,8.546,-30.7744,1.8
,0031-280,8.5653,-27.8078,4.0
,0031-512,8.5368,-51.1277,0.5
,0031-320,8.5658,-31.7878,1.9
,0031-380,8.5677,-37.8861,3.3
,0031-381,8.5843,-37.9278,3.3
,0031-782,8.4408,-78.126,0.6
,0031-782,8.4439,-78.1894,0.5
,0032-255,8.6338,-25.5728,0.3
,0032-301,8.6505,-30.0195,4.5
,0032-224,8.6946,-22.5012,2.7
,0032-675,8.6702,-67.6528,6.7
,0032-424,8.7655,-42.4229,0.1
,0032-442,8.8297,-44.0813,0.7
,0033-441,8.9085,-44.0363,0.2
,0033-253,8.9499,-25.3764,4.0
,0033-372,8.9588,-37.138,0.1
,0033-455,8.9559,-45.6714,0.2
,0033-312,9.0067,-31.2014,0.2
,0033-262,9.024,-26.1214,6.7
,0033-324,9.0178,-32.5447,4.0
,0033-315,9.0229,-31.6364,2.0
,0033-262,9.0365,-26.0781,0.4
,0033-325,9.0343,-32.5998,4.0
,0033-325,9.0468,-32.5764,4.0
,0033-325,9.0967,-32.5698,4.0
,0033-280,9.1139,-27.7865,3.9
,0034-592,9.0814,-59.1915,0.1
,0034-225,9.1602,-22.5949,13.4
,0034-260,9.1615,-25.7732,0.2
,0034-280,9.1596,-27.7915,3.9
,0034-280,9.1721,-27.8182,3.9
,0034-283,9.2089,-28.3699,4.5
,0034-334,9.2119,-33.5566,0.3
,0034-294,9.2494,-29.4816,13.0
,0034-324,9.2587,-32.5316,0.4
,0034-351,9.2685,-34.9399,0.6
,0034-225,9.3058,-22.59,13.4
,0034-465,9.2778,-46.6449,4.0
,0034-434,9.2866,-43.5399,0.2
,0034-533,9.3194,-53.26,0.9
,0035-284,9.3833,-28.5284,9.0
,0035-224,9.3931,-22.5484,13.4
,0035-515,9.3682,-51.68,0.1
,0035-335,9.4194,-33.7151,1.8
,0035-434,9.4236,-43.505,0.4
,0035-335,9.4402,-33.6667,0.3
,0035-252,9.4989,-25.0818,2.7
,0035-340,9.5274,-33.7268,0.1
,0035-375,9.5269,-37.6801,0.3
,0035-464,9.5143,-46.5184,4.0
,0035-431,9.524,-42.9218,0.2
,0035-555,9.5331,-55.7168,0.6
,0036-243,9.641,-24.3419,4.2
,0036-243,9.6493,-24.2769,4.2
,0036-660,9.5939,-65.7935,0.9
,0036-391,9.6788,-38.9652,8.1
,0036-391,9.683,-38.9519,8.1
,0036-390,9.7204,-38.8869,8.1
,0036-390,9.7661,-38.857,8.1
,0036-432,9.8141,-43.077,1.8
,0037-375,9.8757,-37.5604,1.0
,0037-374,9.8923,-37.5471,1.0
,0037-245,9.9484,-24.6038,0.5
,0037-305,10.0211,-30.5972,1.6
,0038-721,10.0028,-71.9839,1.2
,0038-372,10.1626,-37.199,0.2
,0038-562,10.1441,-56.1806,5.4
,0038-383,10.186,-38.344,11.4
,0038-375,10.2161,-37.5807,1.0
,0038-634,10.1611,-63.4406,1.8
,0038-374,10.2286,-37.5307,1.0
,0038-374,10.2411,-37.5157,1.0
,0038-384,10.3105,-38.4008,11.4
,0039-380,10.3527,-37.8575,2.7
,0039-380,10.3817,-37.8858,2.7
,0039-335,10.4163,-33.6209,0.2
