Name,Arp,RA,Dec,Diam
,0103-520,16.4667,-51.7542,0.9
,0103-303,16.5239,-30.3976,4.9
,0103-620,16.4285,-61.7942,0.8
,0103-304,16.5404,-30.4743,4.9
,0104-565,16.563,-56.6377,0.4
,0105-370,16.8395,-36.7564,1.3
,0105-471,16.9258,-46.9082,0.9
,0105-270,17.0415,-26.8667,1.1
,0105-472,17.0412,-47.1317,3.6
,0106-470,17.0631,-46.755,1.3
,0106-382,17.0936,-38.2118,0.5
,0106-472,17.0952,-47.0984,4.0
,0106-464,17.1883,-46.4736,0.2
,0107-390,17.3414,-38.7688,0.8
,0107-480,17.3791,-47.7955,1.1
,0107-375,17.4228,-37.7106,1.3
,0107-744,17.2634,-74.5155,6.9
,0108-462,17.6163,-46.1742,0.5
,0108-383,17.6581,-38.2692,1.8
,0108-423,17.7018,-42.376,0.7
,0109-825,17.3289,-82.5858,1.3
,0109-545,17.9374,-54.693,0.4
,0109-364,18.0152,-36.4848,0.3
,0110-503,18.0748,-50.3999,0.4
,0110-583,18.0648,-58.2449,1.0
,0110-582,18.1395,-58.2083,0.7
,0110-583,18.2011,-58.2834,0.7
,0111-523,18.3823,-52.2837,0.9
,0111-454,18.4563,-45.4088,1.2
,0112-312,18.629,-31.184,0.9
,0112-554,18.5922,-55.404,0.8
,0112-422,18.7811,-42.1792,0.1
,0113-514,18.8204,-51.4893,0.2
,0113-233,18.9313,-23.2728,0.7
,0113-324,18.9753,-32.4795,2.9
,0113-613,18.8899,-61.2561,0.5
,0113-613,18.9226,-61.3095,0.7
,0114-331,19.0989,-32.9464,0.2
,0114-284,19.1913,-28.5632,1.1
,0114-500,19.2084,-49.7599,0.2
,0114-371,19.2762,-37.0267,0.8
,0115-310,19.5316,-30.7738,3.8
,0115-444,19.5418,-44.4588,1.3
,0115-483,19.5289,-48.2571,0.3
,0115-463,19.5401,-46.2404,0.4
,0116-402,19.7078,-40.2107,0.2
,0116-370,19.7874,-36.8075,1.8
,0117-674,19.7226,-67.5292,0.4
,0117-681,19.7456,-68.0475,0.9
,0117-520,19.8673,-51.7793,0.8
,0117-681,19.7538,-68.0492,0.7
,0117-434,19.9346,-43.5311,0.4
,0117-434,19.9386,-43.5694,0.4
,0117-343,19.9806,-34.2595,0.9
,0117-412,19.9954,-41.2362,0.2
,0117-340,20.0272,-33.9012,2.0
,0118-623,19.9611,-62.2395,0.4
,0118-500,20.0493,-49.8296,1.0
,0118-221,20.1522,-21.9831,0.3
,0119-340,20.3264,-33.8401,0.3
,0119-613,20.3725,-61.3569,1.3
,0120-340,20.6877,-33.8673,0.2
,0120-325,20.7112,-32.734,0.4
,0120-540,20.6494,-53.7423,0.2
,0120-305,20.7536,-30.6174,11.0
,0120-424,20.73,-42.5674,0.2
,0120-341,20.762,-34.0375,0.2
,0120-432,20.7573,-43.1258,0.2
,0121-340,20.9869,-33.8045,0.3
,0121-351,20.9879,-35.0678,0.3
,0121-452,21.0328,-45.1013,0.4
,0122-320,21.208,-31.7582,1.3
,0122-381,21.3037,-38.0684,1.2
,0124-282,21.6984,-28.1741,0.6
,0124-384,21.7219,-38.4708,0.7
,0124-225,21.7893,-22.7209,4.5
,0125-234,21.9747,-23.5412,0.4
,0125-365,21.9471,-36.6829,0.3
,0125-850,20.9051,-84.7402,0.6
,0126-525,22.0174,-52.6264,0.8
,0126-434,22.096,-43.5298,0.4
,0126-680,21.9727,-67.8497,1.1
,0126-525,22.1167,-52.6332,1.0
,0126-614,22.0619,-61.4365,0.4
,0126-514,22.164,-51.4083,0.5
,0126-653,22.0889,-65.2816,0.7
,0126-515,22.246,-51.5951,0.4
,0127-441,22.31,-44.0285,0.1
,0127-223,22.4182,-22.3237,2.0
,0127-524,22.3574,-52.5553,0.2
,0127-614,22.3798,-61.4654,1.3
,0127-514,22.4747,-51.4205,0.2
,0127-331,22.5387,-32.9106,1.1
,0128-421,22.6075,-41.9974,0.4
,0129-514,22.8719,-51.5263,0.2
,0129-261,23.0628,-26.0049,5.4
,0130-293,23.2003,-29.3118,0.4
,0131-364,23.3306,-36.4438,0.5
,0131-434,23.4152,-43.5723,0.2
,0131-343,23.4985,-34.3891,2.9
,0131-392,23.4927,-39.0957,3.4
,0131-344,23.515,-34.4458,2.9
,0132-294,23.5782,-29.4226,5.0
,0132-385,23.5565,-38.6159,6.3
,0132-244,23.74,-24.4212,0.7
,0133-293,23.969,-29.3883,0.1
,0133-474,23.9392,-47.4333,0.3
,0134-373,24.1003,-37.3286,1.2
,0134-762,23.7773,-76.18,0.3
,0134-603,24.0956,-60.3753,0.8
,0134-803,23.6478,-80.3149,3.6
,0135-280,24.3968,-27.8958,0.2
,0135-330,24.4582,-32.9093,4.3
,0135-650,24.3502,-64.8959,1.1
