Arp,RA,Dec,Score,Notes
0519-261,80.3761,-26.2272,2,
0522-495,80.9805,-49.9056,2,
0522-870,76.0353,-87.0321,2,
0528-332,82.6627,-33.3867,2,
0539-271,85.3604,-27.2096,2,same as previous.
0539-271,85.3686,-27.228,2,same as previous.
0544-393,86.4615,-39.4985,2,
0554-380,89.0261,-38.1476,2,
0619-273,95.4293,-27.5618,2,
0640-750,99.8443,-75.1102,2,
0649-520,102.6703,-52.1487,2,
0714-571,108.9718,-57.3433,2,
0729-660,112.4996,-66.2231,2,
0731-680,112.8301,-68.1914,2,
0810-742,122.4811,-74.5166,2,ESO 035- G 021
0921-225,140.8737,-23.1618,2,
0925-314,141.8495,-32.0148,2,
0942-290,146.1575,-29.3205,2,
0945-311,146.9347,-31.5076,2,
1023-432,156.4585,-43.7514,2,
1027-393,157.3882,-39.8365,2,
1028-362,157.7154,-36.7355,2,
1035-412,159.315,-41.625,2,low latitude
1101-225,165.9445,-23.2447,2,
1114-222,169.3478,-22.72,2,
1127-365,172.4494,-37.2142,2,
1133-245,173.8802,-25.1483,2,
1159-530,180.3953,-53.3601,2,
1159-295,180.4911,-30.2368,2,
1204-292,181.6777,-29.765,2,
1208-305,182.7853,-31.1232,2,
1211-375,183.4484,-38.2314,2,
1219-430,185.4891,-43.334,2,
1221-350,186.1523,-35.4053,2,
1222-392,186.3063,-39.7653,2,
1224-360,186.7217,-36.4234,2,
1225-370,186.9943,-37.3299,2,
1243-262,191.4215,-26.6349,2,
1247-440,192.5815,-44.4188,2,
1249-313,193.1706,-31.8882,2,
1251-240,193.5277,-24.4278,2,part of previous.
1251-240,193.5569,-24.4361,2,part of previous.
1251-313,193.6512,-31.881,2,
1252-264,193.7358,-26.9525,2,
1252-445,193.8685,-45.2291,2,low latitude
1255-455,194.5324,-46.2683,2,
1259-423,195.5077,-42.7704,2,
1300-233,195.7149,-23.9235,2,
1310-443,198.284,-44.8883,2,
1312-225,198.7363,-23.1475,2,
1314-273,199.188,-27.8869,2,
1317-220,199.9662,-22.2756,2,
1321-233,201.0381,-23.8721,2,
1322-370,201.3875,-37.3766,2,
1329-265,203.1583,-27.17,2,
1342-355,206.2457,-36.1522,2,
1404-294,211.7658,-30.0127,2,
1409-265,213.0966,-27.1075,2,
1413-243,214.041,-24.8434,2,
1418-270,215.3058,-27.2599,2,low latitude but pretty weird.
1939-515,295.8031,-51.8076,2,low latitude
2024-525,307.0641,-52.684,2,
2025-494,307.2082,-49.6434,2,low latitude?
2029-282,308.1637,-28.2827,2,
2032-253,308.753,-25.3688,2,
2032-253,308.7695,-25.3421,2,
2033-215,308.9907,-21.8245,2,
2048-300,312.9463,-29.8433,2,
2052-311,313.7799,-31.092,2,
2054-433,314.4554,-43.3648,2,Same as previous.
2054-433,314.4597,-43.3864,2,Same as previous.
2055-492,314.6402,-49.2858,2,
