Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp-Madore0322-374,3,WFPC2 606W only. Check.,,ESO 301-IG 011,0.066,G,1405,,1.4,SB?(r)cd? p (ring:),RING? pec,,,,,,11.364,0.047,1.90E-28,8.40E-30,9.747E-02,22%,9.75E-28,1.92E-28,5.662E-01,18%,5.66E-27,1.02E-27,,,,,,,,,60.80,79.43,35,175,50.9787,-37.5138
Arp-Madore0329-502,4,,,AM 0329-502,0.037,GPair,,,,INTERACTING,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,52.6779,-50.3071
Arp-Madore0335-244,3,Mostly STIS or WFPC2. Check.  Not the most extreme galaxy. Could cut.,,NGC 1385,0.055,G,1499,,3.4,SB(s)cd        HII,SB(s)cd,,13.4522,0.00662442,1.51E-28,9.21E-31,8.568,0.029,2.49E-27,6.75E-29,1.502E+00,4%,1.50E-26,3.38E-28,1.587E+01,4%,1.59E-25,6.35E-27,180.1,6.1,1.80E-27,6.10E-29,,,,,112.20,218.78,235,176,54.3707,-24.5034
Arp-Madore0338-224,3,"Could cut. Not that disturbed. But, possible inner starburst.",,NGC 1415,0.066,G,1585,,3.5,(R)SAB(s)0/a   HII,(R)SAB0/a(s),,,,,,8.290,0.018,3.22E-27,5.38E-29,5.338E-01,7%,5.34E-27,2.18E-28,5.268E+00,5%,5.27E-26,2.63E-27,26.0,1.2,2.60E-28,1.20E-29,,,,,127.80,188.36,126,177,55.2372,-22.5651
Arp-Madore0338-375,4,,,ESO 301-IG 022,0.041,GPair,,,,(Sb?pec)+(Sa?pec),Sc,,,,,,,,,,,< 9.970E-02,,< 9.97E-28,7.746E-01,7%,7.75E-27,5.42E-28,,,,,,,,,,,5,16,55.0221,-37.7861
Arp-Madore0346-222,4,,,ESO 549- G 024,0.124,G,12343,,1.5,Sb:            HII,Sb?,,19.4123,0.172094,6.24E-31,9.89E-32,10.981,0.052,2.70E-28,1.33E-29,,< 9.776E-02,,< 9.78E-28,1.192E+00,7%,1.19E-26,8.34E-28,15.6,0.7,1.56E-28,7.00E-30,,,,,43.80,64.57,18,17,57.2531,-22.2399
Arp-Madore0357-460,3,Horologium Dwarf Vr=898 km/s,,Horologium Dwarf,0.028,G,898,,2.2,IB(s)m,IB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,51.29,43,178,59.8132,-45.8725
Arp-Madore0400-420,3,,,ESO 302- G 027,0.029,G,4441,,1.22,SAB(s)c pec,S?,,16.3899,0.0367619,1.01E-29,3.42E-31,14.484,0.288,1.07E-29,3.26E-30,,< 4.212E-02,,< 4.21E-28,1.701E-01,17%,1.70E-27,2.89E-28,,,,,,,,,10.00,78.52,30,179,60.4645,-41.9401
Arp-Madore0403-555,3,,,ESO 156- G 037,0.039,GPair,,,,Double system,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,61.0736,-55.7747
Arp-Madore0405-552,3,,,IC 2032,0.029,G,1068,,1.3,IAB(s)m pec:,IAB(s)m pec?,,,,,,,,,,,,,,,,,,,,,,,,,,,77.62,30,181,61.7689,-55.3243
Arp-Madore0409-563,3,Possible starburst but could cut.,,NGC 1536,0.060,G,1217,,2.0,SB(s)c pec:    HII,SB(s)c pec?,,,,,,9.863,0.089,7.56E-28,6.46E-29,6.707E-02,27%,6.71E-28,1.93E-28,4.746E-01,7%,4.75E-27,3.32E-28,,,,,,,,,87.00,136.46,100,182,62.7621,-56.4853
Arp-Madore0410-325,3,,,AM 0410-325,0.042,GPair,1085,,,INTERACTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,183,63.0136,-32.8676
