Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp-Madore2350-302,3,"ESO 471-IG 037, Vr=14493 so pretty distant. But, means scale of tails is huge.",,ESO 471-IG 037,0.052,GPair,,,,Double system,pair,,,,,,,,,,,< 1.377E-01,,< 1.38E-27,5.392E-01,11%,5.39E-27,5.93E-28,3.9,0.5,3.90E-29,5.00E-30,,,,,,,7,107,358.3297,-30.1534
Arp-Madore2350-410,3,NGC7764A -- Very little of the HST seems usable. Check! ,,NGC 7764A,0.039,GTrpl,9162,,,S pec,S pec,H_alpha Emission-Line Galaxy,,,,,,,,,,,,,,,,,,,,,,,,,,,22,108,358.3449,-40.8084
Arp-Madore2353-291,3,,,IC 5364,0.048,GPair,9054,,,E+S0/S,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,109,359.0982,-29.0266
Arp-Madore2353-815,3,Vr=1940 km/s; could cut -- basically just a loose Scd...,,ESO 012- G 010,0.368,G,1940,,3.1,SB(s)d,SB(s)dm,,,,,,,,,,,,,,,,,,,,,,,,,,,128.82,38,110,359.0747,-81.5716
Arp10,4,,,UGC 01775,0.107,G,9108,,1.5,S?,S?,,,,,,10.329,0.048,4.92E-28,2.23E-29,,< 1.942E-01,,< 1.94E-27,7.837E-01,7%,7.84E-27,5.49E-28,8.8,1.0,8.80E-29,1.00E-29,,,,,47.40,,56,83,34.61,5.6533
Arp100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,-11.5733
Arp106,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.9,28.1767
Arp107,4,"Another ""Why the hell has no one ever observed this""?",,UGC 05984,0.079,GPair,9946,,,DBL SYS,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,84,163.0775,30.0667
Arp108,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7725,-22.2167
Arp11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3475,14.3367
Arp110,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.5375,-15.2367
Arp111,4,,,Arp111,0.039,GGroup,8094,,,,M51 Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,85,210.42,33.8283
Arp112,4,,,Arp112,0.146,GPair,,,,Mult,M51 Type,,,,,,,,,,,< 9.198E-02,,< 9.20E-28,2.230E-01,19%,2.23E-27,4.24E-28,,,,,,,,,,,26,86,0.3625,31.4333
Arp113,4,,,NGC 0070,0.154,G,7167,,2.0,SA(rs)c        Sy2,SA(rs)c,Sy 2,,,,,9.665,0.046,9.08E-28,3.93E-29,,< 1.098E-01,,< 1.10E-27,3.172E-01,17%,3.17E-27,5.39E-28,17.1,2.9,1.71E-28,2.90E-29,,,,,63.00,,73,87,4.5925,30.08
Arp119,4,,,Arp119,0.087,GPair,,,,Sc+E,E + Sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,88,19.85,12.4467
Arp12,3,Not that disturbed. Could cut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.8225,28.4733
Arp121,4,,,Arp121,0.122,GPair,5771,,,,,,21.5202,0.361319,8.95E-32,2.98E-32,,,,,,< 1.307E-01,,< 1.31E-27,3.213E-01,16%,3.21E-27,5.14E-28,,,,,,,,,,,13,89,14.8475,-4.8033
Arp122,3,Existing obs are only ACS-SBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.1125,17.75
Arp123,4,,,Arp123,0.416,GPair,2394,,,,,,,,,,,,,,3.026E-01,9%,3.03E-27,2.20E-28,3.312E+00,5%,3.31E-26,1.66E-27,96.4,3.6,9.64E-28,3.60E-29,,,,,,,17,90,80.635,-11.495
Arp125,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5575,41.93
Arp126,4,,,Arp126,0.071,GPair,5539,,,,Sa + Sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,91,29.5225,3.1
Arp127,4,,,Arp127,0.097,GPair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,92,9.7475,-9.0017
Arp129,3,a bit small...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8525,32.3617
Arp130,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6575,16.6433
Arp136,4,,,NGC 5820,0.053,G,3335,,1.7,S0,S0 edge-on,,19.3193,0.182976,6.80E-31,1.15E-31,9.142,0.016,1.47E-27,2.18E-29,,,,,,,,,,,,,,,,,81.60,,85,93,224.6675,53.8867
Arp138,4,Nice occultor,,NGC 4015,0.065,GPair,4368,,,DBL SYS,pair,,,,,,,,,,,< 9.068E-02,,< 9.07E-28,2.499E-01,17%,2.50E-27,4.25E-28,,,,,,,,,,,45,94,179.6775,25.0367
Arp141,4,,,UGC 03730,0.100,GPair,2709,,,,RING,,,,,,,,,,,< 7.656E-02,,< 7.66E-28,1.922E-01,19%,1.92E-27,3.65E-28,,,,,,,,,,,45,95,108.5875,73.48
Arp143,4,,,Arp143,0.140,GPair,4015,,,Mult pec,material emanating from an elliptical,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,96,116.72,39.0317
Arp144,4,,,Arp144,0.086,GPair,5800,,,Mult pec,material emanating from an elliptical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,97,1.6125,-13.4167
Arp145,4,,,UGC 01840,0.139,G,5425,,1.5,Peculiar...loop,pec,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,98,35.7825,41.37
Arp146,3,"distant and quite small, but really cool. Cut if needed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.685,-6.6367
Arp15,4,,,NGC 7393,0.100,G,3764,,1.9,SB(rs)c pec    HII,SB(rs)c pec,,,,,,9.710,0.035,8.71E-28,2.85E-29,,,,,,,,,25.9,1.6,2.59E-28,1.60E-29,,,,,65.20,,49,99,342.915,-5.5583
Arp150,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.875,9.5083
Arp156,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.6575,77.495
Arp158,4,,,NGC 0523,0.148,G,4758,,2.5,Pec,pec,,,,,,9.714,0.022,8.68E-28,1.78E-29,2.974E-01,13%,2.97E-27,1.83E-28,1.997E+00,9%,2.00E-26,1.80E-27,16.3,1.0,1.63E-28,1.00E-29,,,,,85.20,,113,100,21.3325,34.025
Arp159,3,Has WFPC2; Check quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.94,25.775
Arp163,3,"Most obs are STIS, FOC, NICMOS...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.32,27.125
Arp164,3,all NICMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9875,5.1783
Arp165,3,all nicmos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1575,17.885
Arp166,3,could actually be sort of boring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.385,33.21
Arp167,3,Another possibly boring one...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3425,19.075
Arp171,3,could be kinda dull.,,Arp171,0.091,GPair,,,,,diffuse counter-tails,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,130,220.18,3.4533
Arp172,3,smooth.,,Arp172,0.120,GPair,,,,,diffuse counter-tails,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,131,241.3875,17.6017
Arp173,3,,,Arp173,0.086,GPair,,,,,narrow counter-tails,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,132,222.86,9.3283
Arp174,3,"NGC 3068; Only COS imaging, Vr=6256 km/s; Likely not that interesting? Could cut.",,NGC 3068,0.048,GPair,6409,,,,narrow counter-tails,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,133,149.6675,28.8767
Arp175,3,Not that interesting. Could cut.,,Arp175,0.155,GTrpl,,,,,narrow counter-tails,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,134,188.2175,11.4033
Arp176,4,,,NGC 4933,0.161,GTrpl,2965,,,S0p,S0_3 pec tides?,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,101,195.9775,-11.5067
Arp18,4,Only NICMOS imaging! Ground based color image here: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwiYhvb_idTYAhVW5WMKHbT7ASAQjBwIBA&url=http%3A%2F%2Fwww.deepskyforum.com%2Fattachment.php%3Fattachmentid%3D186%26d%3D1335722678&psig=AOvVaw1Bg0wqS5uccTKcCtom-QYz&ust=1515903201698869,,NGC 4088,0.054,G,757,,5.8,SAB(rs)bc      HII,SAB(rs)bc,,,,,,,,,,1.550E+00,5%,1.55E-26,4.42E-28,1.988E+01,5%,1.99E-25,9.94E-27,,,,,,,,,,,398,102,181.3975,50.5417
Arp180,4,,,Arp180,0.088,GPair,,,,,narrow filaments,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,103,73.3425,-4.8017
Arp184,3,NGC1961; WFPC2 but most in non-useful filters. Check. ,,NGC 1961,0.340,G,3934,,4.6,SAB(rs)c  LIRG;LINER,SAB(rs)c,LINER,,,,,,,,,5.545E-01,7%,5.54E-27,3.86E-28,6.382E+00,6%,6.38E-26,3.83E-27,177.1,6.0,1.77E-27,6.00E-29,,,,,,,263,135,85.5175,69.38
Arp19,3,HST obs are mostly parallels -- may not have hit target. SDSS image: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwifuryK5dLYAhUQ9GMKHZwNCxEQjBwIBA&url=http%3A%2F%2Fwww.galaxyzoo.org.s3.amazonaws.com%2Fsubjects%2Fstandard%2F1237679078055673871.jpg&psig=AOvVaw2_vsZaxhrWCJqKhuO7lyFD&ust=1515859012882249,,NGC 0145,0.110,G,4138,,1.8,SB(s)dm,SB(s)dm,,,,,,10.321,0.085,4.96E-28,4.04E-29,2.740E-01,16%,2.74E-27,2.20E-28,2.796E+00,7%,2.80E-26,1.96E-27,28.9,1.9,2.89E-28,1.90E-29,,,,,63.80,,52,136,7.9375,-5.1533
Arp190,3,,,UGC 02320,0.378,GPair,10377,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,137,42.5825,12.8883
Arp192,4,,,NGC 3303,0.075,GPair,6281,,,Pec,pec,,,,,,,,,,,,,,,,,,5.0,0.6,5.00E-29,6.00E-30,,,,,,,56,104,159.2475,18.1367
Arp195,4,,,UGC 04653,0.093,GTrpl,16748,,,Sy?,SB(s)b,,,,,,,,,,1.559E-01,26%,1.56E-27,2.92E-28,2.181E+00,5%,2.18E-26,1.09E-27,,,,,,,,,,,37,105,133.46,35.1433
Arp197,3,Do we believe tha blue stripe?  Less interesting if not real...,,UGC 06503,0.062,GPair,6143,,,SBb pec,SB(rs)dm pec,,,,,,,,,,,< 2.311E-01,,< 2.31E-27,7.460E-01,10%,7.46E-27,7.46E-28,,,,,,,,,,,26,138,172.7525,20.47
Arp198,4,,,UGC 06073,0.063,GPair,8832,,,DBL SYS,pair,,,,,,,,,,,,,,,,,,5.6,0.6,5.60E-29,6.00E-30,,,,,,,12,106,164.94,17.6483
Arp199,4,,,Arp199,0.038,GPair,3071,,,Mult,Sa + Sb,,,,,,,,,,8.367E-02,27%,8.37E-28,2.68E-28,6.483E-01,7%,6.48E-27,4.54E-28,,,,,,,,,,,25,107,214.26,36.5717
Arp2,4,"UGC 10310, Vr=716 km/s, in S4G",,UGC 10310,0.033,G,716,,2.8,SB(s)m,SB(s)m,,,,,,,,,,,< 6.536E-02,,< 6.54E-28,2.740E-01,11%,2.74E-27,3.01E-28,,,,,,,,,,,101,108,244.075,47.0467
Arp20,3,A bit small...,,UGC 03014,0.335,G,4214,,1.2,SB?,SB?,,,,,,11.671,0.127,1.43E-28,1.78E-29,,< 1.224E-01,,< 1.22E-27,7.790E-01,7%,7.79E-27,5.45E-28,9.1,1.3,9.10E-29,1.30E-29,,,,,52.40,,36,139,64.975,2.095
Arp200,4,,,NGC 1134,0.443,G,3640,,2.5,S?             HII,S?,,,,,,8.812,0.018,1.99E-27,3.33E-29,8.062E-01,7%,8.06E-27,3.65E-28,8.376E+00,6%,8.38E-26,5.03E-27,,,,,,,,,80.20,,110,109,43.4225,13.015
Arp202,3,,,Arp202,0.090,GPair,3167,,,,pair,,,,,,,,,,1.610E-01,23%,1.61E-27,1.78E-28,1.840E+00,5%,1.84E-26,9.20E-28,31.0,1.7,3.10E-28,1.70E-29,,,,,,,22,140,135.065,35.7267
Arp203,3,Interesting stuff might be too LSB?,,NGC 3712,0.068,G,1580,,1.7,SB?,SB?,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,141,172.7875,28.5667
Arp204,4,,,UGC 08454,0.414,GPair,6298,,,DBL SYS,pair,,,,,,,,,,2.272E-01,7%,2.27E-27,4.98E-29,2.053E+00,4%,2.05E-26,8.21E-28,,,,,,,,,,,15,110,200.7075,84.5067
Arp205,3,lots of UV. Only narrow band optical. Check.,,NGC 3448,0.032,G,1350,,5.6,I0,I0,,,,,,,,,,5.755E-01,12%,5.75E-27,2.64E-28,5.865E+00,6%,5.86E-26,3.52E-27,52.5,2.2,5.25E-28,2.20E-29,,,,,,,201,142,163.6625,54.3067
Arp208,3,A bit distant .Cut if needed.,,Arp208,0.080,GPair,,,,,"triple, bridge",,,,,,,,,,9.188E-02,20%,9.19E-28,2.29E-28,5.883E-01,7%,5.88E-27,4.12E-28,,,,,,,,,,,7,143,252.7625,47.22
Arp21,3,a bit small,,Arp021,0.068,G,8677,,0.89,Spiral,three-armed spiral,,,,,,11.601,0.067,1.53E-28,9.71E-30,,< 1.647E-01,,< 1.65E-27,6.293E-01,13%,6.29E-27,8.18E-28,,,,,,,,,31.60,,44,144,166.245,30.0267
Arp214,3,NGC3718; Check HLA -- not sure if imaging is adequate. https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwj4vJy7k9TYAhVU-WMKHcviDmkQjBwIBA&url=http%3A%2F%2Fwww.spacetelescope.org%2Fstatic%2Farchives%2Ffitsimages%2Fscreen%2Famirreza_kamkar_05.jpg&psig=AOvVaw37Uavw0YvC_q_NPLArsJL0&ust=1515905835530738,,NGC 3718,0.039,G,993,,8.1,SB(s)a pec;Sy1 LINER,SB(s)a pec,LINER b,,,,,,,,,9.744E-02,32%,9.74E-28,5.39E-28,6.972E-01,10%,6.97E-27,6.97E-28,16.5,1.2,1.65E-28,1.20E-29,,,,,,,317,145,173.1475,53.0667
Arp216,3,"NGC7679; WFPC 606W only, and may target other galaxy.  Check",,Arp216,0.181,GPair,5024,,,,loops,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,146,352.195,3.5117
Arp217,3,NGC3310; Most HST not useful. Check. Ground based: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwijytnNldTYAhUG6mMKHZufAZYQjBwIBA&url=https%3A%2F%2Ffuturism.com%2Fwp-content%2Fuploads%2F2015%2F01%2FNGC-3310.jpg&psig=AOvVaw0tJeDidlYyatz8jt5cMUg4&ust=1515906388988961,,NGC 3310,0.062,G,993,,3.1,SAB(r)bc pec   HII,SAB(r)bc pec,H II,,,,,8.619,0.015,2.38E-27,3.31E-29,4.578E+00,8%,4.58E-26,9.07E-28,3.053E+01,8%,3.05E-25,2.44E-26,364.2,12.4,3.64E-27,1.24E-28,,,,,82.60,,631,147,159.6925,53.5017
Arp219,3,Need to check position and size....,,UGC 02812,0.220,GPair,10521,,,Interacting,SB + 1 companion,,,,,,,,,,,< 1.353E-01,,< 1.35E-27,6.387E-01,10%,6.39E-27,6.39E-28,7.7,1.2,7.70E-29,1.20E-29,,,,,,,20,148,54.925,-2.1133
Arp22,3,NGC4027; F814W imaging only. Could get second band. Found NNT image:  https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwjK3NypitTYAhUJ7mMKHQjECOUQjxwIAw&url=https%3A%2F%2Fde.wikipedia.org%2Fwiki%2FNGC_4027&psig=AOvVaw273sR6mJseQ8NCG3R0VAy_&ust=1515903379963791,,Arp022,0.115,GPair,1668,,,,one-armed spiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,149,179.8775,-19.2633
Arp221,4,,,Arp221,0.104,GTrpl,,,,,amorphous spiral arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,111,144.1,-11.3283
Arp222,3,NGC7727?; HST obs need to be checked. https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwis4fjmldTYAhVX_WMKHVRNAP8QjBwIBA&url=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F1%2F12%2FNGC_7727_Hubble_WikiSky.jpg%2F1200px-NGC_7727_Hubble_WikiSky.jpg&psig=AOvVaw1D_FOB_KA6FT-n7Vbq5pxh&ust=1515906452560227,,NGC 7727,0.097,G,1868,,4.7,SAB(s)a pec,SAB(s)a pec,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,150,354.975,-12.2917
Arp225,3,NGC2655; Check HLA -- not clear if imaging is useable.,,NGC 2655,0.086,G,1400,,4.9,SAB(s)0/a      Sy2,SAB0/a(s),LINER,,,,,,,,,2.106E-01,10%,2.11E-27,1.76E-28,1.673E+00,5%,1.67E-26,8.36E-28,123.5,3.7,1.24E-27,3.70E-29,,,,,,,264,151,133.9125,78.225
Arp231,3,,,IC 1575,0.132,G,5797,,0.8,S0+ pec,shells,,,,,,9.770,0.029,8.24E-28,2.23E-29,,,,,,,,,,,,,,,,,49.40,,21,152,10.89,-4.1183
Arp24,3,"Mostly STIS, some WFPC2 web images are fairly weak looking: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwinnKXP5dLYAhVS_WMKHaxcAS0QjBwIBA&url=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F2%2F21%2FNGC3445-HST-R814GB300-lin.jpg%2F250px-NGC3445-HST-R814GB300-lin.jpg&psig=AOvVaw0r7vMYbyvsvJLMobZevSr3&ust=1515859148075440",,Arp024,0.021,GPair,1984,,,,one-armed spiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,153,163.6525,56.99
Arp241,3,fairly distant,,UGC 09425,0.035,GPair,10408,,,Sb,S?,,,,,,,,,,,,,,,,,,15.9,1.0,1.59E-28,1.00E-29,,,,,,,47,154,219.4625,30.4817
Arp248,3,,,Arp248,0.062,GTrpl,5276,,,"SB(s)b:,pec",appearance of fission,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,155,176.6875,-3.8467
Arp249,3,,,UGC 12891,0.202,GPair,,,,DBL SYS,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,156,0.08,22.99
Arp251,3,,,Arp251,0.070,GTrpl,,,,,appearance of fission,,,,,,,,,,,< 1.235E-01,,< 1.24E-27,7.036E-01,10%,7.04E-27,7.04E-28,11.4,1.0,1.14E-28,1.00E-29,,,,,,,13,157,13.445,-13.8617
Arp253,4,,,Arp253,0.207,GPair,,,,,appearance of fission,,,,,,,,,,,< 1.554E-01,,< 1.55E-27,3.637E-01,12%,3.64E-27,4.36E-28,,,,,,,,,,,11,112,145.8525,-5.28
Arp255,3,Obs are only FOC or SBC,,UGC 05304,0.107,GPair,12308,,,,S?,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,158,148.2875,7.88
Arp257,3,only obs were FOC,,UGC 04638,0.063,GPair,3322,,,DBL SYS,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,159,132.91,-2.3667
Arp258,3,,,Arp258,0.238,GGroup,4107,,,Compact Group,irregular clumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,160,39.77,18.3933
Arp260,3,,,UGC 07230,0.103,GPair,7127,,,SB(s)d pec,SB(s)d pec,,,,,,,,,,,< 1.485E-01,,< 1.48E-27,5.081E-01,12%,5.08E-27,6.10E-28,,,,,,,,,,,59,161,183.4125,16.1217
Arp261,3,Check HLA.,,Arp261,0.315,GGroup,1846,,,,irregular clumps,,,,,,,,,,,< 3.438E-01,,< 3.44E-27,1.403E+00,6%,1.40E-26,8.42E-28,,,,,,,,,,,20,162,222.3775,-10.1733
Arp262,3,,,Arp262,0.098,G,,,,,irregular clumps,,,,,,,,,,,< 1.301E-01,,< 1.30E-27,3.219E-01,15%,3.22E-27,4.83E-28,,,,,,,,,,,13,163,359.1875,16.8117
Arp263,4,,,NGC 3239,0.088,G,753,,5.0,IB(s)m pec,IB(s)m pec,,,,,,10.715,0.040,3.45E-28,1.30E-29,2.893E-01,20%,2.89E-27,2.16E-28,3.421E+00,5%,3.42E-26,1.71E-27,,,,,,,,,92.80,,152,113,156.2725,17.16
Arp264,4,,,NGC 3104,0.035,G,600,,3.3,IAB(s)m        HII,IAB(s)m,,,,,,,,,,,< 1.407E-01,,< 1.41E-27,3.692E-01,11%,3.69E-27,4.06E-28,,,,,,,,,,,96,114,150.99,40.7567
Arp270,4,almost all obs are STIS or WFPC2. No press release image on web. Check.,,Arp270,0.068,GPair,1637,,,S(c)+Irr,connected pair,,,,,,,,,,7.889E-01,7%,7.89E-27,1.71E-28,8.306E+00,6%,8.31E-26,4.98E-27,,,,,,,,,,,69,115,162.4575,32.98
Arp275,4,,,NGC 2881,0.109,GPair,5100,,,,S?,,,,,,,,,,1.686E-01,16%,1.69E-27,1.73E-28,1.236E+00,6%,1.24E-26,7.42E-28,25.3,1.5,2.53E-28,1.50E-29,,,,,,,18,116,141.48,-11.9833
Arp276,3,Possible occultor. Not the most interesting...,,Arp276,0.522,GPair,4161,,,,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,164,37.045,19.6
Arp277,3,,,Arp277,0.093,GPair,930,,,Mult pec,interacting double,,,,,,,,,,,< 1.348E-01,,< 1.35E-27,5.971E-01,9%,5.97E-27,5.37E-28,,,,,,,,,,,20,165,193.7125,2.6533
Arp278,4,All obs are NICMOS. https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwifkYbQntHYAhUK52MKHZFnAWcQjBwIBA&url=https%3A%2F%2Fcseligman.com%2Ftext%2Fatlas%2Fngc7253.jpg&psig=AOvVaw2NuPVvorW05u777YIKE2eO&ust=1515805715151162,,NGC 7253,0.182,GPair,4718,,,SB?+S?,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,117,334.86,29.3983
Arp279,3,Not all that disturbed. Could cut.,,Arp279,0.246,GPair,1708,,,,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,166,48.5375,-2.8233
Arp28,3,Not that extreme.  Could cut.,,NGC 7678,0.134,G,3489,,2.17,SAB(rs)c;Sbrst Sy2,SAB(rs)c,H II,,,,,9.133,0.035,1.48E-27,4.85E-29,8.681E-01,8%,8.68E-27,3.26E-28,6.590E+00,12%,6.59E-26,7.91E-27,,,,,,,,,104.20,,215,167,352.115,22.4217
Arp282,4,,,Arp282,0.082,GPair,4831,,,,double galaxy with infall and attraction,,,,,,,,,,,< 4.983E-01,,< 4.98E-27,1.118E+00,7%,1.12E-26,7.83E-28,19.6,1.5,1.96E-28,1.50E-29,,,,,,,28,118,9.2175,23.9917
Arp287,4,"Check images... ""F475X"" -- not sure what the ""X"" is...",,Arp287,0.107,GPair,,,,,double galaxy with wind effects,,,,,,,,,,,< 1.791E-01,,< 1.79E-27,1.069E+00,5%,1.07E-26,5.34E-28,,,,,,,,,,,13,119,135.66,25.935
Arp288,3,One WFC3 275W image (weird choice). Get optical?,,Arp288,0.077,GTrpl,,,,,double galaxy with wind effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,168,203.735,13.8317
Arp289,3,1 FOC image. ,,NGC 3981,0.109,G,1723,,5.2,SAB(s)bc pec,SA(rs)bc,,,,,,,,,,5.421E-01,11%,5.42E-27,4.49E-28,6.301E+00,8%,6.30E-26,5.04E-27,58.9,2.5,5.89E-28,2.50E-29,,,,,,197.24,112,169,179.03,-19.895
Arp290,4,,,Arp290,0.155,GPair,3509,,,,double galaxy with wind effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,120,30.935,14.7083
Arp291,3,,,UGC 05832,0.103,G,1216,,1.51,SB?,SB?,,,,,,,,,,,< 2.018E-01,,< 2.02E-27,4.467E-01,10%,4.47E-27,4.47E-28,,,,,,,,,,,71,170,160.7025,13.46
Arp292,4,,,IC 0575,0.194,G,5973,,1.7,Sa pec sp,Sa pec edge-on,,,,,,9.514,0.030,1.04E-27,2.92E-29,,< 1.165E-01,,< 1.17E-27,2.716E-01,17%,2.72E-27,4.62E-28,9.4,1.1,9.40E-29,1.10E-29,,,,,72.00,,29,121,148.6375,-6.8567
Arp293,3,Only WFC3IR,,Arp293,0.047,GPair,5600,,,,double galaxy with wind effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,171,254.63,58.9367
Arp294,3,Limited WFPC2 obs. Check. Could cut. https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwigi_fpntTYAhVQ62MKHUW3BKMQjBwIBA&url=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2Fc%2Fce%2FArp294-NGC3788-NGC3786-HST-606.jpg%2F768px-Arp294-NGC3788-NGC3786-HST-606.jpg&psig=AOvVaw0fgDZ3AO9Zn_gi_JxH98HH&ust=1515908853976059,,Arp294,0.065,GPair,2674,,,Double,double galaxy with long filaments,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,172,174.9275,31.9083
Arp295,3,WFCP2 303W and 814W. Check.,,Arp295,0.107,GPair,6966,,,,double galaxy with long filaments,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,173,355.45,-3.6767
Arp300,3,Mostly STIS or WFPC2,,Arp300,0.163,GGroup,3600,,,,galaxy with interacting companion,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,174,142.01,68.4217
Arp301,3,,,Arp301,0.083,GPair,6173,,,,interacting double,,,,,,,,,,,,,,,,,,24.6,1.4,2.46E-28,1.40E-29,,,,,,,12,175,167.465,24.2617
Arp303,3,,,Arp303,0.135,GPair,6136,,,LIRG,interacting double,,,,,,,,,,,< 3.719E-01,,< 3.72E-27,3.030E+00,4%,3.03E-26,1.21E-27,,,,,,,,,,,35,176,146.585,3.045
Arp305,3,NGC 4016; Deep proprietary data but I think it's not pointed towards this. Check HLA,,Arp305,0.065,GPair,,,,,interacting double,,,,,,,,,,,,,,,,,,4.8,0.6,4.80E-29,6.00E-30,,,,,,,7,177,179.6225,27.5283
Arp309,3,,,Arp309,0.087,GPair,4695,,,,interacting double,,,,,,,,,,,< 8.727E-02,,< 8.73E-28,3.475E-01,13%,3.47E-27,4.52E-28,,,,,,,,,,,13,178,37.2925,-10.8367
